시군명,사업장명,인허가일자,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,인허가취소일자,영업상태명,폐업일자,소재지시설전화번호,X좌표값,Y좌표값,약국영업면적,지정일자
가평군,가평온누리약국,20100811,경기도 가평군 가평읍 가화로 113,경기도 가평군 가평읍 읍내리 468번지 22호,12418,37.8296499,127.5133047,,폐업,20140319,031-581-8777,245124.9639,480919.8433,129,20100811
가평군,가평온누리약국,20140320,경기도 가평군 가평읍 가화로 113,경기도 가평군 가평읍 읍내리 468-22번지,12418,37.8296499,127.5133047,,영업중,,031-581-8777,245124.9639,480919.8433,129,20140320
가평군,가평참빛약국,20051205,경기도 가평군 가평읍 가화로 55-12 (대곡리),경기도 가평군 가평읍 대곡리 166번지 1호,12420,37.8248498,127.5149412,,폐업,20101206,031-582-6904,245272.3992,480386.6023,59.4,20051205
가평군,감초온누리약국,20180205,경기도 가평군 설악면 신천중앙로88번길 1,경기도 가평군 설악면 신천리 120번지 3호,12465,37.6768064,127.4937563,,영업중,,031-585-1008,243492.4407,463945.3655,116.48,20180205
가평군,고향약국,20130104,경기도 가평군 설악면 한서로 9,경기도 가평군 설악면 121번지 2호,12465,37.6765855,127.4948884,,영업중,,031-584-1902,243593.4028,463919.6778,39.6,20130104
가평군,고향약국,20090424,경기도 가평군 설악면 한서로 9,경기도 가평군 설악면 신천리 121번지 14호,12465,37.6765855,127.4948884,,폐업,20120524,031-584-1902,243580.4306,463917.1624,39,20090424
가평군,굿모닝약국,20040501,경기도 가평군 청평면 청평중앙로 45-1,경기도 가평군 청평면 청평리 465번지 11호,12452,37.7378525,127.4195104,,영업중,,031-585-4638,236913.2076,470690.151,26,20040501
가평군,단비약국,20181001,경기도 가평군 북면 화악산로 9,경기도 가평군 북면 목동리 889번지 4호 목동할인마트,12403,37.88614758,127.5493542,,영업중,,031-582-8151,248263.3074,487206.5143,49.58,20181001
가평군,대성약국,20110607,경기도 가평군 설악면 신천중앙로 118 (상가 102호),경기도 가평군 설악면 신천리 435번지 14호,12465,37.6779716,127.4908847,,영업중,,031-584-1050,243240.3091,464072.3275,75.6,20110607
가평군,대성약국,20091204,경기도 가평군 설악면 신천중앙로 118-1 (신천리),경기도 가평군 설악면 신천리 435번지 19호,12465,37.6780532,127.4907493,,폐업,20110607,584-1050,243227.3007,464081.4003,38.3,20091204
